property_id,property_name,hectares,centroid_lat,centroid_lon,postcode,distance_from_albury_km,address,source_PROP_PFI,source_PR_LGAC,source_PR_PROPNUM,source_PR_PTYPE,source_PR_MULTASS,source_PR_STAT,source_PR_PFI_CR,source_PROP_UFI,source_PR_UFI_CR,source_PR_UFI_OLD,source_PR_TASKID,source_PROPV_PFI,source_PV_BASEPFI,source_PV_CNT_PFI,source_PV_GRTYPE,source_PV_ZLEVEL,source_PV_PFI_CR,source_PROPV_UFI,source_PV_UFI_CR,source_PV_UFI_OLD,source_PV_TASKID,enrichment_source,enrichment_confidence,enrichment_notes
45228026,Burrowye Beef,13370.73,-36.035763,147.442011,,47.81,MURRAY RIVER ROAD BURROWYE 3709,45228026,367,320068,O,N,A,,370100773,2008-10-30,,,539578,,129470655,P,G,,830450603,2024-02-18,665954313.0,,ABR (score=90 ABN=98577914119),High,
45353484,ORANGE GROVE MUDGEGONGA,6295.23,-36.512873,146.958995,,48.9,DE PIAZZAS LANE MUDGEGONGA 3737,45353484,300,NCPR,O,N,A,,869531529,2025-06-30,76375133.0,471610.0,4095392,,126820733,P,G,,825042552,2024-01-28,583261213.0,471610.0,ABR (score=84 ABN=52120545716),High,
129354414,Granya Cemetery Trust,6163.57,-36.110795,147.283042,,33.53,MT GRANYA ROAD GRANYA 3701,129354414,367,319500,O,Y,A,2008-09-24,370230825,2008-11-22,,,124635467,134167042,129355134,P,G,2005-05-09,868999104,2025-06-17,665954367.0,,ABR (score=82 ABN=21151190372),High,
134167043,Granya Cemetery Trust,6163.57,-36.110795,147.283042,,33.53,MT GRANYA ROAD GRANYA 3701,134167043,367,,G,N,A,,381788321,2012-02-14,,,134167042,,129355134,B,G,,868999105,2025-06-17,665954368.0,,ABR (score=82 ABN=21151190372),High,
124635468,The Granya Alternative,6163.57,-36.110795,147.283042,,33.53,GRANYA ROAD GRANYA 3701,124635468,367,319850,O,Y,A,2005-05-09,370230783,2008-11-22,,,124635467,134167042,129355134,P,G,2005-05-09,868999104,2025-06-17,665954367.0,,ABR (score=82 ABN=60491091431),High,
45226701,ESKDALE FARM,4432.18,-36.474962,147.159452,,49.71,STEELE TRACK ESKDALE 3701,45226701,367,NCPR,O,N,A,,534040588,2017-06-19,96861731.0,154494.0,4128272,,128566130,P,G,,564160439,2018-11-28,550790367.0,154494.0,ABR (score=99 ABN=97847328015),High,
52817647,UPPER GUNDOWRING RECREATION ROOMS INC. A 8466,3797.14,-36.475583,147.113425,,48.08,ESKDALE SPUR TRACK UPPER GUNDOWRING 3691,52817647,300,,O,N,A,,369676125,2008-09-12,,,4516494,,127554098,P,G,,595425668,2020-08-12,415882059.0,,ABR (score=82 ABN=15548702894),High,
45335305,,3102.69,-36.397873,146.981614,,36.49,ROBERT TRACK KERGUNYAH SOUTH 3691,45335305,300,,O,N,A,,369676138,2008-09-12,,,816640,,127538295,P,G,,577990017,2019-08-12,497030346.0,,none,None,
52574575,,2722.96,-36.390569,146.787419,,36.94,PIONEER ROAD STANLEY 3747,52574575,334,9326,O,N,A,,538752005,2017-09-18,525960131.0,165699.0,4183216,,127533567,P,G,,584783137,2020-01-09,415869602.0,165699.0,none,None,
45043699,Murramungee Angus Stud,2666.4,-36.472228,146.698468,,48.26,FLAGSTAFF ROAD MURMUNGEE 3747,45043699,368,19695,O,N,A,,586975636,2020-02-24,485069808.0,273114.0,416322,,127652930,P,G,,691120150,2022-10-11,679609742.0,273114.0,ABR (score=80 ABN=69726142806),High,
